ID, Type, Car, MPG, Horsepower, Seats, MSRP, Market Price, Price Range, Image Link
444331, suv, 2020 Honda Pilot Touring, 23 MPG, 280, 7, 44140, 39858, $32770 - $50840, https://file.kbb.com/kbb/vehicleimage/evoxseo/cp/l/12984/2019-honda-pilot-side_12984_001_640x480_wb.png?interpolation=high-quality&crop=1.0xw:0.90xh;lefttop&downsize=200:*
444178, suv, 2020 Hyundai Santa Fe 2.0T Limited, 23 MPG, 235, 5, 38845, 37085, $27245 - $40545, https://file.kbb.com/kbb/vehicleimage/evoxseo/cp/l/13855/2020-hyundai-santa%20fe-side_13855_001_640x480_ww8.png?interpolation=high-quality&crop=1.0xw:0.90xh;lefttop&downsize=200:*
444075, suv, 2020 Subaru Outback Touring XT, 26 MPG, 260, 5, 40705, 38824, $27655 - $40705, https://file.kbb.com/kbb/images/icons/no-image-te/640x480.png?interpolation=high-quality&downsize=200:*
444862, suv, 2020 Acura MDX Base Style, 23 MPG, 290, 7, 45525, 38983, $45525 - $63745, https://file.kbb.com/kbb/vehicleimage/evoxseo/cp/l/12361/2018-acura-mdx-side_12361_001_640x480_wa.png?interpolation=high-quality&crop=1.0xw:0.90xh;lefttop&downsize=200:*
444180, suv, 2020 Volvo XC90 T6 Inscription, 21 MPG, 316, 7, 64095, 56839, $49345 - $74795, https://file.kbb.com/kbb/vehicleimage/evoxseo/cp/l/13754/2020-volvo-xc90-side_13754_001_640x480_707.png?interpolation=high-quality&crop=1.0xw:0.90xh;lefttop&downsize=200:*
445576, suv, 2020 Porsche Cayenne E-Hybrid, 22 MPG | 46 MPGe, 335, 5, 82450, 77404, $68150 - $163250, https://file.kbb.com/kbb/vehicleimage/evoxseo/cp/l/13963/2019-porsche-cayenne-side_13963_001_640x480_2y.png?interpolation=high-quality&crop=1.0xw:0.90xh;lefttop&downsize=200:*
445142, suv, 2020 Buick Enclave Avenir, 21 MPG, 310, 7, 54995, 51755, $41195 - $57295, https://file.kbb.com/kbb/vehicleimage/evoxseo/cp/l/14072/2020-buick-enclave-side_14072_001_640x480_g1w.png?interpolation=high-quality&crop=1.0xw:0.90xh;lefttop&downsize=200:*
444440, suv, 2020 Ford Expedition XLT, 19 MPG, 375, 8, 54205, 51624, $54205 - $78480, https://file.kbb.com/kbb/images/icons/no-image-te/640x480.png?interpolation=high-quality&downsize=200:*
444672, suv, 2020 Ford Expedition MAX XLT, 19 MPG, 375, 8, 57230, 54053, $57230 - $81505, https://file.kbb.com/kbb/vehicleimage/evoxseo/cp/l/14352/2020-ford-expedition%20max-side_14352_001_640x480_az.png?interpolation=high-quality&crop=1.0xw:0.90xh;lefttop&downsize=200:*
444185, suv, 2020 Chevrolet Tahoe LT, 18 MPG, 355, 8, 54295, 51270, $49295 - $66995, https://file.kbb.com/kbb/vehicleimage/evoxseo/cp/l/12959/2019-chevrolet-tahoe-side_12959_001_640x480_gaz.png?interpolation=high-quality&crop=1.0xw:0.90xh;lefttop&downsize=200:*
445147, suv, 2020 Chevrolet Suburban LS, 18 MPG, 355, 9, 52995, 50504, $52995 - $69795, https://file.kbb.com/kbb/vehicleimage/evoxseo/cp/l/13858/2020-chevrolet-suburban-side_13858_001_640x480_gaz.png?interpolation=high-quality&crop=1.0xw:0.90xh;lefttop&downsize=200:*
444455, suv, 2020 GMC Yukon SLT, 17 MPG, 355, 8, 61895, 57970, $50895 - $70995, https://file.kbb.com/kbb/vehicleimage/evoxseo/cp/l/13038/2019-gmc-yukon-side_13038_001_640x480_gaz.png?interpolation=high-quality&crop=1.0xw:0.90xh;lefttop&downsize=200:*
444547, suv, 2020 GMC Yukon XL SLT Standard Edition, 16 MPG, 355, 8, 61895, 57834, $53695 - $73795, https://file.kbb.com/kbb/images/icons/no-image-te/640x480.png?interpolation=high-quality&downsize=200:*
